og	gos
ENOG4111NIG	GO:0016787,GO:0003824,GO:0008233,GO:0008238,GO:0004180,GO:0070011,GO:0008152,GO:0044238,GO:0019538,GO:0043170,GO:0071704,GO:0006508
COG1586	GO:0016829,GO:0016830,GO:0004014,GO:0016831,GO:0003824,GO:0008152,GO:0034641,GO:0006807,GO:0071704,GO:1901566,GO:0009987,GO:0009058,GO:1901564,GO:0044271,GO:0044249,GO:0044237,GO:1901576,GO:0006596,GO:0006595,GO:0042401,GO:0008216,GO:0009308,GO:0009309,GO:0044106,GO:0006576,GO:0008295,GO:0044710,GO:0044281,GO:0044238,GO:0046129,GO:0072521,GO:0046499,GO:1901362,GO:0042451,GO:1901360,GO:0006139,GO:0042278,GO:0055086,GO:0018130,GO:0006725,GO:0009116,GO:0034654,GO:0009119,GO:0046128,GO:0042455,GO:0046483,GO:0072522,GO:1901137,GO:0006557,GO:1901135,GO:0044272,GO:1901657,GO:0006790,GO:0019438,GO:1901659,GO:0009163
COG2897	GO:0016740,GO:0003824,GO:0016782,GO:0016783,GO:0004792,GO:0008152
COG3250	GO:0004553,GO:0003824,GO:0016787,GO:0016798,GO:0004565,GO:0015925,GO:0005488,GO:0030246,GO:0008152,GO:0071704,GO:0044238,GO:0005975,GO:0009341,GO:0043234,GO:0032991
COG0371	GO:0016614,GO:0003824,GO:0016491,GO:0043169,GO:0043167,GO:0046872,GO:0005488,GO:0016616,GO:0008888,GO:0050492,GO:0008152,GO:0044710,GO:0055114,GO:0009987,GO:0071704,GO:0044238,GO:0044237,GO:0044249,GO:1901576,GO:0006644,GO:0006629,GO:0009058,GO:0044255,GO:0090407,GO:0008610,GO:0008654,GO:0006796,GO:0006793,GO:0019637,GO:0006650,GO:0046486,GO:0005737,GO:0044464,GO:0005622,GO:0005623,GO:0044424
COG1725	GO:0003700,GO:0001071,GO:0097159,GO:0005488,GO:0003676,GO:0003677,GO:1901363,GO:0019222,GO:0031326,GO:0031323,GO:0050789,GO:0080090,GO:2000112,GO:0060255,GO:0065007,GO:0010468,GO:0019219,GO:0009889,GO:0050794,GO:0051171,GO:2001141,GO:0051252,GO:0006355,GO:0010556,GO:0032774,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:1901360,GO:0006139,GO:0044260,GO:0071704,GO:0010467,GO:0018130,GO:1901576,GO:0006725,GO:0009987,GO:0009058,GO:0009059,GO:0008152,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0044237,GO:0043170,GO:0006351,GO:0019438,GO:0044464,GO:0005623,GO:0005622
COG3708	GO:0005488,GO:1901363,GO:0097159,GO:0003676,GO:0003677,GO:0003700,GO:0001071,GO:0043565,GO:0080090,GO:0019222,GO:0031326,GO:0031323,GO:0050789,GO:2000112,GO:0060255,GO:0065007,GO:0010468,GO:0019219,GO:0009889,GO:0050794,GO:0051171,GO:2001141,GO:0051252,GO:0006355,GO:0010556,GO:0044464,GO:0005623,GO:0005622
COG0275	GO:0008168,GO:0016740,GO:0016741,GO:0003824,GO:0008649,GO:0016434,GO:0008757,GO:0008173,GO:0008170,GO:0071424,GO:0032259,GO:0008152,GO:0009987,GO:0071704,GO:0044237,GO:0044238,GO:0006807,GO:0044260,GO:0043412,GO:0043170,GO:0009451,GO:0071840,GO:0006364,GO:0034470,GO:0001510,GO:0046483,GO:0000154,GO:0034660,GO:0042254,GO:1901360,GO:0043414,GO:0016070,GO:0016072,GO:0031167,GO:0034641,GO:0006139,GO:0022613,GO:0006725,GO:0090304,GO:0010467,GO:0044085,GO:0006396,GO:0070475,GO:0044464,GO:0005623,GO:0005737,GO:0005622,GO:0044424
COG1876	GO:0008233,GO:0016787,GO:0003824,GO:0004180,GO:0008238,GO:0070011,GO:0009002,GO:0004185,GO:0070008,GO:0008236,GO:0017171,GO:0008152,GO:0043170,GO:0071704,GO:0044238,GO:0019538,GO:0006508
ENOG4111JX2	GO:0008168,GO:0016740,GO:0003824,GO:0016741,GO:0008757,GO:0008170,GO:0004608,GO:0080101,GO:0000773,GO:0032259,GO:0008152
